Period,Total_pay,Regular_pay
Jan-15,476,448
Feb-15,478,450
Mar-15,480,452
Apr-15,481,452
May-15,482,453
Jun-15,481,453
Jul-15,484,454
Aug-15,484,454
Sep-15,483,454
Oct-15,484,454
Nov-15,484,455
Dec-15,487,456
Jan-16,489,459
Feb-16,486,461
Mar-16,490,461
Apr-16,495,463
May-16,493,462
Jun-16,493,464
Jul-16,496,464
Aug-16,494,464
Sep-16,495,465
Oct-16,497,465
Nov-16,498,467
Dec-16,496,467
Jan-17,497,468
Feb-17,499,469
Mar-17,501,470
Apr-17,502,471
May-17,503,473
Jun-17,508,473
Jul-17,504,474
Aug-17,507,475
Sep-17,509,476
Oct-17,509,477
Nov-17,510,478
Dec-17,512,479
Jan-18,510,480
Feb-18,513,482
Mar-18,513,484
Apr-18,515,483
May-18,516,485
Jun-18,519,487
Jul-18,521,489
Aug-18,523,491
Sep-18,523,491
Oct-18,530,493
Nov-18,526,494
Dec-18,528,495
Jan-19,530,498
Feb-19,532,498
Mar-19,525,500
Apr-19,534,503
May-19,537,504
Jun-19,540,506
Jul-19,542,507
Aug-19,541,508
Sep-19,544,508
Oct-19,543,509
Nov-19,543,510
Dec-19,542,511
Jan-20,546,512
Feb-20,547,512
Mar-20,529,512
Apr-20,529,502
May-20,532,503
Jun-20,532,505
Jul-20,541,512
Aug-20,552,518
Sep-20,558,523
Oct-20,563,527
Nov-20,568,531
Dec-20,570,533
Jan-21,570,534
Feb-21,569,535
Mar-21,551,537
Apr-21,576,540
May-21,582,540
Jun-21,577,541
Jul-21,580,543
Aug-21,584,544
Sep-21,585,545
Oct-21,589,548
Nov-21,590,551
Dec-21,606,554
Jan-22,602,559
Feb-22,603,559
Mar-22,608,562
Apr-22,606,563
May-22,607,568
Jun-22,614,569
Jul-22,614,573
Aug-22,620,576
Sep-22,619,578
Oct-22,628,584
Nov-22,633,589
Dec-22,635,591
Jan-23,639,594
Feb-23,643,599
Mar-23,644,602
Apr-23,652,607
May-23,655,612
Jun-23,670,615
Jul-23,665,618
Aug-23,665,621
Sep-23,670,622
Oct-23,665,620
Nov-23,670,625
Dec-23,672,627
Jan-24,676,630
Feb-24,680,634
Mar-24,684,639
Apr-24,688,642
May-24,691,645
Jun-24,692,648
Jul-24,693,650
Aug-24,697,651
Sep-24,701,655
Oct-24,708,658
Nov-24,706,660
Dec-24,713,665
Jan-25,711,667
Feb-25,718,670
Mar-25,725,670
Apr-25,720,674
May-25,723,677
Jun-25,724,679
