year,property_type,avg_price
2015,detached,1546250
2015,flat,577017
2015,Other,4452241
2015,semi-detached,902311
2015,terraced,795136
2016,detached,2021919
2016,flat,612407
2016,Other,2851572
2016,semi-detached,1019540
2016,terraced,879816
2017,detached,1835460
2017,flat,646516
2017,Other,4226197
2017,semi-detached,960570
2017,terraced,855524
2018,detached,1862171
2018,flat,633647
2018,Other,3196902
2018,semi-detached,953846
2018,terraced,889316
2019,detached,1967853
2019,flat,638336
2019,Other,4036803
2019,semi-detached,920161
2019,terraced,888846
2020,detached,1804098
2020,flat,627923
2020,Other,3956050
2020,semi-detached,1035275
2020,terraced,962582
2021,detached,1988387
2021,flat,621145
2021,Other,4030163
2021,semi-detached,1161517
2021,terraced,956822
2022,detached,2387869
2022,flat,652125
2022,Other,3154772
2022,semi-detached,1139294
2022,terraced,1093182
2023,detached,2759189
2023,flat,705555
2023,Other,2553172
2023,semi-detached,1163391
2023,terraced,1018732
2024,detached,2299001
2024,flat,653786
2024,Other,3284129
2024,semi-detached,1175376
2024,terraced,1041595
2025,detached,1885000
2025,flat,606458
2025,Other,4587167
2025,semi-detached,1102056
2025,terraced,910564
